# EdfVersion=4.0,,,,
# Date=2024-01-18T10:33:21.251018-08:00,,,,
# ApplicationName=ControlCenter,,,,
# ApplicationVersion=1.40.2,,,,
# FilePath=/Users/melissaleon/data_logging/2024-01-18_10-33-00-SHT4x_255533031.edf,,,,
# HostName=MacBook-Pro-383.local,,,,
# MeasurementGroup=01c07f71-84d4-49f0-83f0-75abcd1ef8b6,,,,
# MeasurementSession=e86895d0-0d8b-4882-a6b5-ebe7c0b581d7,,,,
# OperatingSystem=macOS-13.2.1-x86_64-i386-64bit,,,,
# SensorId=255533031,,,,
"# Type=float64,Format=.2f,Unit=s",units=s,"Type=string,Format=","Device=SensorBridge_(09407e),Device_Serial_Number=SensorBridge-11001C000C50334D34353320,Port=1,SensorName=SHT4x,Sensor_Serial_Number=255533031,Signal=Temperature,Type=float,Format=.6f,Unit=°C,Product=SHT4x,Measurement_Frequency=2.0Hz,Downsampling=keep_first_of_every_5_samples","Device=SensorBridge_(09407e),Device_Serial_Number=SensorBridge-11001C000C50334D34353320,Port=1,SensorName=SHT4x,Sensor_Serial_Number=255533031,Signal=Relative_Humidity,Type=float,Format=.6f,Unit=%RH,Product=SHT4x,Measurement_Frequency=2.0Hz,Downsampling=keep_first_of_every_5_samples"
Epoch_UTC,time_elapsed,Local_Date_Time,T_SHT4x_255533031,RH_SHT4x_255533031
1705602782,0.00,2024-01-18T10:33:01.550000-08:00,21.856003,26.84123
1705602784,2.52,2024-01-18T10:33:04.070000-08:00,21.847992,26.814527
1705602787,5.05,2024-01-18T10:33:06.600000-08:00,21.842651,26.87747
1705602789,7.58,2024-01-18T10:33:09.130000-08:00,21.842651,26.84123
1705602792,10.11,2024-01-18T10:33:11.660000-08:00,21.856003,26.79736
1705602794,12.64,2024-01-18T10:33:14.190000-08:00,21.858673,26.871748
1705602797,15.15,2024-01-18T10:33:16.700000-08:00,21.83197,26.824063
1705602799,17.68,2024-01-18T10:33:19.230000-08:00,21.837311,26.825971
1705602802,20.21,2024-01-18T10:33:21.760000-08:00,21.839981,26.850767
1705602804,22.73,2024-01-18T10:33:24.280000-08:00,21.837311,26.824063
1705602807,25.26,2024-01-18T10:33:26.810000-08:00,21.853333,26.801175
1705602809,27.77,2024-01-18T10:33:29.320000-08:00,21.853333,26.812619
1705602812,30.29,2024-01-18T10:33:31.840000-08:00,21.861343,26.780194
1705602814,32.81,2024-01-18T10:33:34.360000-08:00,21.864014,26.789731
1705602817,35.34,2024-01-18T10:33:36.890000-08:00,21.83197,26.814527
1705602819,37.85,2024-01-18T10:33:39.400000-08:00,21.847992,26.79736
1705602822,40.38,2024-01-18T10:33:41.930000-08:00,21.861343,26.84123
1705602824,42.91,2024-01-18T10:33:44.460000-08:00,21.842651,26.782101
1705602827,45.42,2024-01-18T10:33:46.970000-08:00,21.847992,26.774472
1705602830,47.95,2024-01-18T10:33:49.500000-08:00,21.853333,26.814527
1705602832,50.48,2024-01-18T10:33:52.030000-08:00,21.856003,26.808804
1705602835,52.99,2024-01-18T10:33:54.540000-08:00,21.853333,26.831693
1705602837,55.52,2024-01-18T10:33:57.070000-08:00,21.858673,26.782101
1705602840,58.05,2024-01-18T10:33:59.600000-08:00,21.858673,26.816434
1705602842,60.57,2024-01-18T10:34:02.120000-08:00,21.845322,26.785916
1705602845,63.10,2024-01-18T10:34:04.650000-08:00,21.869354,26.808804
1705602847,65.62,2024-01-18T10:34:07.170000-08:00,21.853333,26.770657
1705602850,68.14,2024-01-18T10:34:09.690000-08:00,21.842651,26.801175
1705602852,70.67,2024-01-18T10:34:12.220000-08:00,21.861343,26.827878
1705602855,73.20,2024-01-18T10:34:14.750000-08:00,21.864014,26.79736
1705602857,75.73,2024-01-18T10:34:17.280000-08:00,21.858673,26.820249
1705602860,78.26,2024-01-18T10:34:19.810000-08:00,21.842651,26.850767
1705602862,80.77,2024-01-18T10:34:22.320000-08:00,21.823959,26.806897
1705602865,83.30,2024-01-18T10:34:24.850000-08:00,21.799927,26.803082
1705602867,85.81,2024-01-18T10:34:27.360000-08:00,21.815948,26.822156
1705602870,88.34,2024-01-18T10:34:29.890000-08:00,21.821289,26.785916
1705602872,90.86,2024-01-18T10:34:32.410000-08:00,21.807938,26.772564
1705602875,93.38,2024-01-18T10:34:34.930000-08:00,21.815948,26.810712
1705602877,95.90,2024-01-18T10:34:37.450000-08:00,21.83197,26.763027
1705602880,98.43,2024-01-18T10:34:39.980000-08:00,21.810608,26.799268
1705602883,100.96,2024-01-18T10:34:42.510000-08:00,21.834641,26.787823
1705602885,103.49,2024-01-18T10:34:45.040000-08:00,21.815948,26.76112
1705602888,106.02,2024-01-18T10:34:47.570000-08:00,21.821289,26.778286
1705602890,108.53,2024-01-18T10:34:50.080000-08:00,21.815948,26.825971
1705602893,111.06,2024-01-18T10:34:52.610000-08:00,21.839981,26.793545
1705602895,113.59,2024-01-18T10:34:55.140000-08:00,21.799927,26.791638
1705602898,116.11,2024-01-18T10:34:57.660000-08:00,21.821289,26.787823
1705602900,118.63,2024-01-18T10:35:00.180000-08:00,21.815948,26.814527
1705602903,121.15,2024-01-18T10:35:02.700000-08:00,21.813278,26.778286
1705602905,123.68,2024-01-18T10:35:05.230000-08:00,21.810608,26.780194
1705602908,126.19,2024-01-18T10:35:07.740000-08:00,21.821289,26.80499
1705602910,128.72,2024-01-18T10:35:10.270000-08:00,21.83197,26.734417
1705602913,131.25,2024-01-18T10:35:12.800000-08:00,21.823959,26.734417
1705602915,133.78,2024-01-18T10:35:15.330000-08:00,21.810608,26.753491
1705602918,136.31,2024-01-18T10:35:17.860000-08:00,21.821289,26.753491
1705602920,138.83,2024-01-18T10:35:20.380000-08:00,21.821289,26.766842
1705602923,141.35,2024-01-18T10:35:22.900000-08:00,21.818619,26.753491
1705602925,143.87,2024-01-18T10:35:25.420000-08:00,21.815948,26.759213
1705602928,146.40,2024-01-18T10:35:27.950000-08:00,21.82663,26.806897
1705602930,148.93,2024-01-18T10:35:30.480000-08:00,21.810608,26.715343
1705602933,151.46,2024-01-18T10:35:33.010000-08:00,21.813278,26.719158
1705602936,153.97,2024-01-18T10:35:35.520000-08:00,21.821289,26.787823
1705602938,156.50,2024-01-18T10:35:38.050000-08:00,21.810608,26.747768
1705602941,159.03,2024-01-18T10:35:40.580000-08:00,21.83197,26.742046
1705602943,161.56,2024-01-18T10:35:43.110000-08:00,21.834641,26.763027
1705602946,164.07,2024-01-18T10:35:45.620000-08:00,21.799927,26.778286
1705602948,166.60,2024-01-18T10:35:48.150000-08:00,21.805267,26.76112
