"wl","a","b","a_rel_to_base","b_rel_to_base"
"385",1144664025479.77,1133444504356.62,1.00940557400651,0.999511800019296
"395",1143143044427.54,1103561732694.03,1.00806431865305,0.973160105887612
"415",1116500470763,1123545612254.12,0.984569946711394,0.990782603816448
"430",1117919460613.45,1092635602305.84,0.98582126258454,0.963525054317316
"450",1188268512997.42,1204285586565.4,1.04785756670678,1.06198199359441
"470",1143767782844.3,1183584634508.99,1.00861523527674,1.04372715555648
"505",1160187132795.62,1157982611131.72,1.02309440383057,1.02115037798017
"525",1117443670764.56,1152465596774.28,0.985401694121795,1.01628527789813
"545",1127646222015.59,1151366300349.79,0.994398667794972,1.01531587909318
"570",1102469196211.73,1261055530545.23,0.972196668240852,1.11204375548587
"590",1130193394966.43,1083816307350.82,0.996644855774418,0.95574788539417
"625",1142284899122.56,1088580102396.71,1.00730757550845,0.959948769815892
"645",1162575513785.24,1158856735034.72,1.02520056339364,1.02192121162255
"660",1119851857051.77,1173588433745.13,0.987525318702848,1.03491214910452
"680",1136140144311.46,1088364444228.97,1.00188891149948,0.959758594749892
"700",1162191651547.53,1090440796107.39,1.024862059978,0.961589595910947
"740",1140071720189.33,1171815537481.72,1.0053559153691,1.03334874593067
