wl,grey,white
176.12,0.00E+00,0.00E+00
176.5,0.00E+00,0.00E+00
176.89,0.00E+00,0.00E+00
177.28,0.00E+00,0.00E+00
177.67,0.00E+00,0.00E+00
178.06,0.00E+00,0.00E+00
178.45,0.00E+00,0.00E+00
178.84,0.00E+00,0.00E+00
179.22,0.00E+00,0.00E+00
179.61,0.00E+00,0.00E+00
180,0.00E+00,0.00E+00
180.39,0.00E+00,0.00E+00
180.78,0.00E+00,0.00E+00
181.16,0.00E+00,0.00E+00
181.55,0.00E+00,0.00E+00
181.94,0.00E+00,0.00E+00
182.33,0.00E+00,0.00E+00
182.72,0.00E+00,0.00E+00
183.1,0.00E+00,0.00E+00
183.49,0.00E+00,0.00E+00
183.88,0.00E+00,0.00E+00
184.27,0.00E+00,0.00E+00
184.66,0.00E+00,0.00E+00
185.04,0.00E+00,0.00E+00
185.43,0.00E+00,0.00E+00
185.82,0.00E+00,0.00E+00
186.21,0.00E+00,0.00E+00
186.59,0.00E+00,0.00E+00
186.98,0.00E+00,0.00E+00
187.37,0.00E+00,0.00E+00
187.76,0.00E+00,0.00E+00
188.15,0.00E+00,0.00E+00
188.53,0.00E+00,0.00E+00
188.92,0.00E+00,0.00E+00
189.31,0.00E+00,0.00E+00
189.69,0.00E+00,0.00E+00
190.08,0.00E+00,0.00E+00
190.47,0.00E+00,0.00E+00
190.86,0.00E+00,0.00E+00
191.24,0.00E+00,0.00E+00
191.63,0.00E+00,0.00E+00
192.02,0.00E+00,0.00E+00
192.41,0.00E+00,0.00E+00
192.79,0.00E+00,0.00E+00
193.18,0.00E+00,0.00E+00
193.57,0.00E+00,0.00E+00
193.95,0.00E+00,0.00E+00
194.34,0.00E+00,0.00E+00
194.73,0.00E+00,0.00E+00
195.11,0.00E+00,0.00E+00
195.5,0.00E+00,0.00E+00
195.89,0.00E+00,0.00E+00
196.27,0.00E+00,0.00E+00
196.66,0.00E+00,0.00E+00
197.05,0.00E+00,0.00E+00
197.43,0.00E+00,0.00E+00
197.82,0.00E+00,0.00E+00
198.21,0.00E+00,0.00E+00
198.59,0.00E+00,0.00E+00
198.98,0.00E+00,0.00E+00
199.37,0.00E+00,0.00E+00
199.75,0.00E+00,0.00E+00
200.14,5.65E+00,5.32E+00
200.53,3.26E+00,2.85E+00
200.91,3.20E+00,2.53E+00
201.3,3.02E+00,2.45E+00
201.68,3.21E+00,2.65E+00
202.07,3.52E+00,2.39E+00
202.46,4.08E+00,2.78E+00
202.84,3.82E+00,2.80E+00
203.23,4.01E+00,3.07E+00
203.61,3.46E+00,2.63E+00
204,3.21E+00,2.78E+00
204.39,3.07E+00,2.64E+00
204.77,3.74E+00,3.22E+00
205.16,3.47E+00,2.81E+00
205.54,3.14E+00,3.02E+00
205.93,3.46E+00,3.15E+00
206.32,3.66E+00,3.05E+00
206.7,3.44E+00,3.12E+00
207.09,2.98E+00,2.80E+00
207.47,2.85E+00,2.30E+00
207.86,2.25E+00,1.93E+00
208.24,1.92E+00,1.76E+00
208.63,2.00E+00,1.70E+00
209.02,1.98E+00,1.72E+00
209.4,1.82E+00,1.68E+00
209.79,1.75E+00,1.76E+00
210.17,1.56E+00,1.53E+00
210.56,1.62E+00,1.59E+00
210.94,1.72E+00,1.49E+00
211.33,1.54E+00,1.43E+00
211.71,1.44E+00,1.21E+00
212.1,1.29E+00,1.17E+00
212.48,1.06E+00,1.15E+00
212.87,1.01E+00,1.10E+00
213.25,9.65E-01,8.82E-01
213.64,1.04E+00,8.87E-01
214.02,1.10E+00,8.55E-01
