wl,tulle_16,tulle_12,tulle_8,tulle_6,tulle_4,tulle_3,tulle_2,tulle_1
195.93,4476.471,4796.078,4703.922,4352.941,4603.922,4841.176,4329.412,145.098
196.2,2568.296,2663.929,2881.105,2402.685,2875.467,3158.588,2888.514,8.45
196.47,2568.296,2663.929,2881.105,2402.685,2875.467,3158.588,2888.514,8.45
196.73,15.179,-35.914,-18.51,-73.572,0.85,-111.48,-168.529,1.431
197,281.314,58.639,143.696,-75.63,116.588,39.411,57.053,2.256
197.27,-8.732,57.442,62.471,149.279,68.033,52.046,54.501,139.069
197.54,187.383,232.363,92.253,-111.399,50.573,187.595,143.497,69.419
197.81,16.071,160.789,-5.987,111.581,147.646,-11.756,60.286,-106.894
198.08,1454.811,1736.532,1670.255,1543.685,1698.588,1846.726,1633.726,67.76
198.35,664.193,856.615,797.876,760.962,860.927,942.986,844.581,46.134
198.62,157.921,242.425,201.54,229.595,257.715,270.585,244.942,53.071
198.89,-12.071,44.486,7.254,55.333,66.702,58.413,53.203,66.906
199.16,-7.17,36.106,10.98,42.665,64.298,55.053,48.061,69.802
199.43,-2.999,30.405,12.004,36.159,62.398,53.295,49.964,69.599
199.7,-1.36,29.815,12.986,33.054,63.668,57.04,54.51,72.854
199.97,3.313,32.587,16.86,32.331,63.996,61.311,59.064,76.625
200.24,3.378,28.711,16.89,32.066,64.04,63.48,60.768,81.202
200.51,-1.403,26.457,14.643,29.235,64.761,63.854,65.212,81.902
200.78,3.033,25.392,18.61,31.121,64.652,65.112,65.736,79.287
201.05,5.741,25.917,20.734,33.181,64.978,65.913,67.78,80.39
201.32,4.373,23.358,19.526,33.787,63.144,65.965,69.179,82.853
201.59,3.783,20.577,19.235,34.514,61.476,66.024,68.44,83.108
201.86,3.779,20.357,19.303,38.242,63.397,65.633,70.192,83.692
202.13,3.199,20.433,19.22,38.721,63.563,65.246,70.434,83.429
202.4,2.879,20.633,20.321,38.684,62.886,62.756,69.216,83.085
202.67,4.827,18.812,22.333,38.747,62.752,62.877,68.384,84.422
202.93,5.451,18.212,24.184,39.328,63.118,64.599,68.916,86.606
203.2,4.175,18.546,25.194,40.234,63.379,66.395,70.269,89.307
203.47,5.276,18.811,26.894,41.464,63.448,67.017,71.687,90.314
203.74,7.122,19.075,29.228,43.272,63.891,67.868,73.181,90.672
204.01,9.369,20.394,31.032,43.807,64.711,68.754,74.699,91.734
204.28,9.228,19.022,30.805,44.4,64.43,67.74,74.542,90.813
204.55,9.016,17.137,30.752,44.255,64.555,66.83,74.68,90.827
204.82,9.904,17.493,33.571,45.883,64.176,66.536,75.155,91.016
205.09,14.143,20.055,37.739,48.7,64.639,67.659,75.063,91.179
205.36,13.462,20.101,38.499,48.639,64.062,67.196,76.43,91.43
205.63,13.587,18.558,38.327,48.504,62.785,65.902,75.961,90.64
205.9,15.522,18.638,38.972,48.344,63.72,67.145,76.475,89.982
206.17,16.719,22.061,40.36,49.099,65.183,68.267,78.84,90.48
206.44,16.903,22.594,41.425,47.608,64.865,69.788,79.58,91.57
206.71,15.472,21.748,41.388,47.254,65.336,69.621,81.283,91.613
206.98,16.271,22.432,40.822,48.192,66.63,71.447,83.838,92.227
207.25,16.738,23.182,39.225,48.413,67.032,71.815,85.914,92.676
207.52,16.8,24.303,39.409,48.663,67.347,72.82,86.475,92.104
207.78,19.54,25.202,40.287,49.484,69.005,75.27,87.55,92.812
208.05,20.323,26.083,39.681,49.699,67.129,75.806,87.226,92.222
208.32,19.921,27.551,37.984,50.363,67.031,77.17,87.465,93.852
208.59,20.611,28.254,38.153,52.924,66.968,77.413,87.829,93.815
208.86,22.737,29.835,40.201,54.017,66.932,79.409,88.274,93.957
209.13,22.546,30.828,40.741,54.881,66.81,80.236,88.175,92.549
209.4,21.923,30.474,39.331,53.889,66.063,80.476,88.217,90.833
209.67,20.762,29.997,37.111,53.292,64.403,78.877,87.549,90.029
209.94,21.33,31.407,37.793,53.577,64.349,78.886,87.405,90.485
210.21,20.177,32.491,37.667,52.929,61.574,79.764,85.623,89.759
210.48,19.778,33.393,37.854,52.93,60.145,79.372,84.199,89.283
210.75,19.189,31.592,37.45,53.569,60.629,78.994,82.639,89.83
211.02,20.515,31.607,38.197,55.443,61.834,80.266,81.595,89.913
211.29,21.218,31.61,39.99,55.765,62.368,81.451,81.656,89.413
211.55,20.828,30.959,40.382,55.163,60.635,81.695,80.551,88.245
211.82,20.85,31.739,41.825,54.886,60.836,82.287,79.385,86.826
212.09,21.13,31.868,42.078,55.344,61.648,81.769,79.512,86.138
212.36,18.371,31.425,41.221,54.23,60.052,78.798,77.804,83.29
212.63,17.023,30.14,40.609,52.21,61.266,76.803,76.714,81.075
212.9,16.105,28.142,39.487,51.149,59.821,74.37,75.175,78.638
213.17,14.858,26.921,38.699,49.183,59.845,75.244,74.373,77.561
213.44,12.853,25.773,37.11,47.562,58.373,73.454,73.962,78.144
213.71,11.265,26.066,35.392,46.463,56.615,72.13,72.574,76.91
213.98,10.575,27.562,35.241,45.73,56.723,71.388,72.513,76.896
214.25,9.391,26.692,34.059,43.628,57.42,71.659,71.406,76.387
214.52,7.907,24.81,32.657,41.981,56.559,71.951,70.769,76.634
214.78,7.106,24.47,33.143,42.274,58.745,73.085,73.831,78.305
215.05,5.216,22.253,31.316,40.969,58.374,72.39,74.429,77.515
215.32,6.396,22.266,30.572,39.637,56.757,73.169,75.653,77.845
215.59,5.054,22.31,29.088,37.908,55.592,72.483,75.588,76.065
215.86,5.737,23.458,28.128,37.161,55.209,71.296,74.919,75.949
216.13,7.185,24.103,29.697,38.182,57.064,71.321,75.622,77.779
216.4,8.01,23.136,28.767,38.078,56.658,69.912,75.312,79.004
216.67,8.066,22.551,28.116,36.959,55.344,69.006,74.244,79.293
216.94,9.444,23.043,28.034,37.209,56.101,70.605,75.8,81.667
217.21,9.741,24.016,28.153,39.276,55.165,71.987,75.301,82.824
217.48,10.719,24.098,29.312,39.65,57.409,73.324,75.438,83.83
217.75,12.367,25.4,30.59,41.345,57.978,73.993,76.249,84.341
218.01,14.804,27.024,32.231,42.943,60.21,76.73,76.874,84.68
218.28,16.494,27.376,33.822,44.453,62.64,77.615,77.771,87.138
218.55,18.043,27.574,33.812,44.603,62.822,75.982,77.623,88.377
218.82,18.432,26.576,34.566,46.041,62.962,75.394,78.828,89.439
219.09,18.862,26.85,35.46,48.457,64.037,74.096,78.845,88.25
219.36,19.65,27.973,36.542,50.017,64.599,74.302,77.236,87.217
219.63,21.25,28.986,39.535,50.763,65.056,75.042,77.548,88.332
219.9,20.297,28.845,39.013,51.186,64.733,74.329,77.094,87.069
220.17,21.487,27.983,38.9,51.91,65.142,74.707,77.002,87.738
220.44,22.054,28.679,37.641,52.983,65.519,75.362,76.867,88.393
220.7,21.847,28.353,35.884,52.101,65.198,74.719,75.505,88.419
220.97,21.561,27.573,37.59,52.543,64.722,75.547,75.129,88.932
221.24,21.07,27.443,36.201,52.384,64.486,74.858,74.972,88.231
221.51,21.052,28.017,37.071,51.936,64.724,74.819,75.463,87.358
221.78,21.065,28.038,39.236,53.371,66.332,75.051,76.507,88.529
222.05,21.421,29.258,40.114,54.167,65.768,74.601,77.706,88.513
222.32,20.024,29.535,39.536,53.883,66.306,73.046,76.767,87.447
222.59,18.838,29.285,39.195,53.499,65.527,71.537,76.16,85.768
222.86,18.586,28.047,39.557,52.671,64.222,71.771,76.259,84.523
223.13,18.079,27.32,39.255,53.287,64.34,73.39,75.542,83.441
223.39,17.764,28.681,39.272,54.339,65.051,74.132,75.889,83.142
223.66,17.862,28.321,39.339,53.917,65.613,76.352,76.755,83.136
223.93,18.43,27.237,38.229,53.083,65.05,75.856,76.904,82.738
224.2,17.993,27.423,37.231,52.993,65.879,75.394,76.688,81.941
224.47,18.968,27.896,38.144,53.672,67.013,75.956,77.069,84.064
224.74,19.532,28.687,38.664,53.749,67.933,74.769,78.851,85.139
225.01,19.74,27.789,39.281,52.629,67.795,74.117,78.257,83.886
225.28,19.395,28.231,40.442,52.699,67.78,75.328,80.586,83.379
225.55,19.562,30.43,38.885,52.611,68.528,75.373,81.581,83.037
225.81,21.482,32.289,41.905,54.492,69.223,75.47,82.829,83.003
226.08,21.571,32.051,41.329,55.362,68.161,74.968,81.924,82.596
226.35,21.932,33.133,39.88,53.28,67.438,74.138,82.098,80.779
226.62,20.161,32.845,38.004,51.976,69.358,73.037,82.032,80.725
226.89,19.122,31.283,36.542,50.096,68.363,72.013,81.376,80.641
227.16,17.697,30.133,33.779,48.421,67.055,70.097,80.298,79.175
227.43,17.574,29.478,32.488,48.72,66.706,69.151,79.512,78.228
227.7,17.394,29.132,31.522,48.707,67.215,70.41,80.188,78.919
227.96,18.661,29.622,31.636,48.627,66.002,70.724,79.868,79.388
228.23,19.872,31.547,32.08,49.119,65.183,69.674,79.5,80.481
228.5,19.599,30.325,31.499,49.362,64.618,69.216,79.075,80.359
228.77,19.662,30.083,30.22,49.512,64.142,69.002,78.416,79.949
229.04,18.193,29.413,29.304,48.414,64.596,68.237,78.406,79.19
229.31,18.136,29.39,29.954,48.123,63.894,68.141,76.745,78.587
229.58,17.631,28.91,29.987,47.866,62.878,67.518,76.523,78.899
229.85,18.714,28.318,30.085,48.318,63.597,66.032,75.102,78.296
230.11,18.131,27.598,31.076,48.306,62.879,65.59,74.945,78.341
230.38,16.664,25.208,29.12,46.589,61.532,66.169,74.453,79.476
230.65,15.886,24.05,28.95,46.325,61.409,65.903,75.35,80.733
230.92,13.636,22.788,28.674,45.391,61.018,65.909,75.193,81.182
231.19,13.159,21.667,28.864,45.222,57.309,65.713,73.594,80.278
231.46,14.444,23.038,30.487,46.874,56.95,67.017,74.616,82.18
231.73,15.717,24.961,33.72,48.945,59.051,69.089,76.669,85.436
232,17.259,26.814,35.871,49.879,60.393,70.455,78.488,87.074
232.26,17.99,26.187,38.822,50.752,60.573,71.88,79.408,87.834
232.53,17.144,23.68,40.703,50.837,61.655,71.945,80.074,89.06
232.8,17.755,22.984,41.826,51.265,62.253,72.013,81.21,88.342
233.07,19.642,25.273,43.243,50.526,62.49,71.492,81.441,87.501
233.34,20.119,24.756,44.501,49.709,62.868,71.812,82.621,88.503
233.61,21.447,25.705,45.399,50.774,62.759,71.08,81.871,89.007
233.88,19.851,25.445,44.827,50.414,61.208,70.459,81.863,88.198
234.15,19.728,24.725,45.851,51.799,62.424,72.601,82.243,90.132
234.41,18.459,25.217,44.612,52.466,62.346,73.478,82.878,91.331
234.68,19.239,25.275,43.034,52.523,62.914,73.356,82.793,90.001
234.95,18.848,25.982,43.779,52.947,64.759,73.591,81.717,90.071
235.22,17.943,25.392,43.952,51.95,64.715,72.594,80.222,88.361
235.49,20.916,26.002,44.763,53.556,65.652,72.767,80.031,88.322
235.76,23.925,27.257,47.163,54.858,67.078,74.601,81.121,88.746
236.03,24.471,26.178,47.331,55.518,67.495,76.169,81.511,88.339
236.29,25.383,25.582,46.578,55.342,67.616,76.245,81.301,88.183
236.56,23.755,25.161,44.724,54.878,67.901,76.273,80.981,88.485
236.83,23.343,26.019,43.251,53.977,68.694,74.401,80.521,88.725
237.1,24.512,27.142,42.785,54.935,68.085,73.485,79.53,87.942
237.37,22.739,26.585,40.779,54.746,68.528,72.796,77.864,87.959
237.64,21.139,26.273,39.951,56.462,69.794,73.288,77.867,88.242
237.91,20.43,26.762,39.589,57.58,70.179,73.441,77.904,88.913
238.17,19.115,25.669,39.588,56.238,70.14,74.255,77.577,87.724
238.44,19.586,25.752,40.167,56.046,70.888,74.639,77.012,88.063
238.71,19.506,26.635,39.24,55.581,69.884,73.599,77.817,87.057
238.98,19.644,25.539,39.97,53.976,69.425,74.573,77.803,86.562
239.25,18.523,25.058,41.277,53.758,69.432,76.223,78.294,87.323
239.52,18.844,26.354,41.955,54.533,69.875,76.406,80.52,87.988
239.78,21.256,27.715,41.805,55.785,71.134,77.706,81.616,89.418
240.05,20.418,27.605,40.755,55.302,70.622,78.289,82.327,89.771
240.32,18.934,27.219,37.482,52.885,70.01,77.576,81.848,89.943
240.59,18.479,27.959,37.216,52.469,70.102,77.007,81.366,90.451
240.86,16.856,27.074,37.274,52.098,69.514,76.344,81.498,90.496
241.13,19.017,28.226,39.36,52.287,69.368,76.536,81.453,89.744
241.4,19.665,28.362,39.338,51.712,67.128,75.929,82.041,88.177
241.66,18.662,28.499,38.51,50.367,68.65,75.863,82.021,87.965
241.93,20.034,29.807,39.416,50.178,68.729,76.657,83.127,88.927
242.2,18.924,28.847,39.517,48.548,67.222,75.72,82.653,89.277
242.47,19.779,29.681,40.444,49.34,66.665,76.263,82.202,89.503
242.74,19.776,30.844,41.25,50.666,67.047,77.973,83.462,90.153
243.01,20.092,31.107,41.087,50.407,68.058,78.885,84.236,90.001
243.27,20.007,31.043,41.915,50.782,68.644,79.052,84.378,89.661
243.54,20.055,31.82,43.028,52.359,68.362,78.242,83.153,89.132
243.81,21.377,32.792,43.791,53.329,69.611,77.622,83.495,89.391
244.08,21.125,32.648,41.753,52.96,68.841,76.678,83.171,88.476
244.35,19.919,32.898,41.961,52.341,68.467,75.988,82.843,88.171
244.62,19.965,32.936,42.533,52.13,68.866,76.374,82.777,88.728
244.88,21.293,32.975,44.737,54.497,69.552,76.961,83.204,88.306
245.15,21.745,32.409,44.664,55.084,70.044,76.705,83.052,88.331
245.42,23.786,34.23,44.71,56.359,71.15,77.686,82.318,88.205
245.69,22.64,32.782,44.028,56.875,71.086,77.995,81.88,88.511
245.96,22.528,32.851,44.084,57.479,71.296,78.703,81.024,89.037
246.23,23.28,32.845,42.837,57.264,69.675,79.265,82.172,88.557
