wl,white_fabric,spyedark
176.12,36.364,28.125
176.5,36.364,28.125
176.89,36.364,28.125
177.28,235,51.163
177.67,210,112.963
178.06,-13.514,-100
178.45,60,40
178.84,133.333,-133.333
179.22,47.17,100
179.61,-28.302,133.333
180,357.895,25.926
180.39,180.769,-614.286
180.78,-75.758,29.787
181.16,-50,100
181.55,-5400,12.791
181.94,-121.053,925
182.33,176.471,278.261
182.72,591.304,42.222
183.1,98.462,-64.706
183.49,188.889,77.049
183.88,-38.182,32.203
184.27,-510,275
184.66,-10,860
185.04,633.333,-30.508
185.43,100,103.571
185.82,662.5,372.727
186.21,32.584,400
186.59,2114.286,-980
186.98,207.692,18.095
187.37,45.714,80
187.76,3.922,-200
188.15,-10,-13.636
188.53,47.844,-12.5
188.92,51.943,-10.451
189.31,55.321,-12.749
189.69,54.406,-19.901
190.08,61.527,3.213
190.47,63.047,4.931
190.86,70.609,8.89
191.24,69.102,8.974
191.63,69.322,7.989
192.02,68.775,8.915
192.41,71.177,5.313
192.79,80.121,7.284
193.18,77.285,2.314
193.57,80.334,4.531
193.95,80.279,4.511
194.34,79.944,2.767
194.73,73.079,3.089
195.11,77.048,5.235
195.5,67.835,1.199
195.89,67.622,6.321
196.27,63.101,6.354
196.66,66.161,4.193
197.05,61.795,4.858
197.43,62.665,5.951
197.82,60.856,8.864
198.21,61.726,6.494
198.59,58.9,2.884
198.98,59.9,5.034
199.37,69.851,11.307
199.75,65.994,13.83
200.14,65.527,8.593
200.53,70.285,11.849
200.91,64.573,10.298
201.3,56.891,11.538
201.68,56.492,8.986
202.07,55.877,7.358
202.46,57.565,7.184
202.84,60.426,7.126
203.23,61.651,9.456
203.61,65.983,7.563
204,65.056,3.905
204.39,65.154,7.252
204.77,68.566,12.669
205.16,75.016,11.541
205.54,73.893,6.239
205.93,73.805,11.786
206.32,75.594,12.707
206.7,71.61,14.072
207.09,71.81,14.225
207.47,69.66,12.204
207.86,70.219,13.326
208.24,65.714,15.308
208.63,63.767,11.151
209.02,63.811,8.294
209.4,62.523,7.856
209.79,60.721,5.505
210.17,62.756,6.254
210.56,65.988,7.823
210.94,70.517,14.463
211.33,72.588,20.087
211.71,69.239,19.987
212.1,71.54,15.874
212.48,67.248,17.13
212.87,68.89,17.157
213.25,69.145,23.97
213.64,70.316,22.327
214.02,68.724,24.5
214.41,64.911,24.422
214.79,64.262,30.513
215.18,61.881,18.207
215.56,65.806,21.307
215.95,59.788,19.421
216.33,60.184,18.448
216.72,58.023,31.922
217.1,58.836,34.168
217.49,54.68,35.463
217.87,50.252,42.525
218.26,48.37,47.141
218.64,46.602,39.312
219.03,49.383,53.589
219.41,45.594,64.17
219.79,55.683,72.327
220.18,50.861,75.21
220.56,50.695,76.915
220.95,47.484,67.5
221.33,46.414,62.401
221.72,48.282,65.795
222.1,47.955,64.439
222.48,49.175,60.915
222.87,59.707,50.836
223.25,57.076,52.877
223.64,58.197,56.506
224.02,55.399,60.526
224.41,55.318,57.934
224.79,55.165,55.867
225.17,57.927,54.844
225.56,53.187,53.873
225.94,56.839,53.897
226.32,59.868,56.616
226.71,58.461,58.698
227.09,60.27,51.63
227.48,59.346,52.17
227.86,64.45,53.305
228.24,68.797,55.963
228.63,69.065,57.491
229.01,68.465,59.688
229.39,69.549,58.618
229.78,72.458,62.548
230.16,71.511,66.715
230.54,70.358,74.366
230.93,71.048,77.91
231.31,72.41,80.709
231.69,69.485,82.113
232.08,68.875,82.133
232.46,70.497,75.235
232.84,73.224,71.3
233.23,73.396,66.401
233.61,73.402,64.68
233.99,75.337,71.832
234.38,72.212,70.137
234.76,74.842,68.961
235.14,72.027,67.585
235.53,66.744,67.862
235.91,65.521,67.628
236.29,65.243,64.618
236.67,64.391,60.324
237.06,61.486,63.366
237.44,62.775,56.178
237.82,60.736,50.064
238.21,64.437,40.643
238.59,67.471,48.459
238.97,65.556,41.337
239.35,65.455,39.172
239.74,66.259,36.157
240.12,66.145,33.293
240.5,60.557,33.558
240.88,58.482,31.262
241.27,62.032,28.32
241.65,61.192,24.733
242.03,62.834,23.358
242.41,64.929,25.53
242.79,64.57,17.075
243.18,66.781,18.011
243.56,71.732,24.839
243.94,71.952,15.952
244.32,69.051,14.407
244.7,66.11,13.978
245.09,68.515,9.312
245.47,69.714,7.192
245.85,69.285,10.566
246.23,72.467,10.408
246.61,74.968,8.19
247,76.675,12.647
247.38,79.011,13.807
247.76,71.684,18.506
248.14,71.42,18.643
248.52,70.535,11.021
248.9,68.397,5.829
249.29,65.515,6.646
249.67,66.62,9.475
250.05,67.878,13.339
250.43,65.834,13.952
250.81,67.456,18.5
251.19,69.769,28.009
251.57,67.823,24.349
251.96,65.696,28.12
252.34,63.929,25.979
252.72,58.643,21.412
253.1,47.526,20.376
253.48,47.762,21.077
253.86,48.831,17.236
254.24,46.472,13.175
254.62,47.769,9.627
255.01,43.424,9.003
255.39,41.461,5.635
255.77,39.247,-2.261
256.15,42.609,-4.205
256.53,42.893,-11.296
256.91,45.045,-5.832
257.29,39.18,-3.08
257.67,34.955,0.45
258.05,33.805,0.381
258.43,33.014,15.678
258.81,34.817,13.868
259.19,36.184,12.154
259.57,36.072,16.749
259.95,38.486,16.483
260.34,45.11,16.173
260.72,43.253,10.107
261.1,47.1,11.486
261.48,45.119,10.357
261.86,46.011,7.46
262.24,46.718,6.753
262.62,53.237,9.991
263,55.428,21.988
263.38,47.466,10.099
263.76,48.798,12.688
264.14,53.865,13.941
264.52,51.244,20.017
264.9,51.648,24.622
265.28,56.053,26.507
265.66,58.641,28.745
266.04,53.718,30.356
266.42,54.082,30.067
266.8,53.123,30.883
267.18,54.346,29.164
267.56,55.438,29.637
267.94,56.57,32.786
268.32,52.754,31.379
268.7,56.287,39.346
269.08,59.847,39.367
269.45,57.55,37.535
269.83,56.658,38.543
270.21,56.301,32.394
270.59,54.822,31.166
270.97,53.684,28.966
271.35,49.179,27.288
271.73,49.041,25.935
272.11,42.016,28.929
272.49,41.643,26.608
272.87,41.952,24.01
273.25,41.532,29.096
273.63,42.696,34.977
274.01,46.489,37.273
274.39,44.169,31.073
274.76,40.24,29.359
275.14,43.976,28.613
275.52,46.833,27.23
275.9,45.222,20.95
276.28,48.455,22.365
276.66,47.733,28.106
277.04,48.505,31.54
277.42,52.06,32.22
277.79,53.55,32.053
278.17,54.996,31.05
278.55,55.525,34.224
278.93,62.271,33.371
279.31,61.063,34.103
279.69,68.049,31.312
280.07,65.991,31.173
280.44,60.479,35.502
280.82,60.045,34.68
281.2,61.754,34.613
281.58,53.043,33.423
281.96,60.366,34.016
282.34,59.564,33.572
282.71,61.026,29.985
283.09,63.876,28.75
283.47,60.799,23.661
283.85,63.51,25.012
284.23,64.98,25.736
284.6,61.469,23.988
284.98,62.058,24.611
285.36,61.825,23.177
285.74,56.404,20.679
286.12,63.918,23.197
286.49,63.493,22.34
286.87,63.955,28.289
287.25,60.624,27.874
287.63,56.381,24.911
288,63.374,23.864
288.38,63.158,22.452
288.76,56.021,24.914
289.14,60.681,26.633
289.52,60.765,23.188
289.89,62.667,24.535
290.27,63.589,22.118
290.65,63.166,26.003
291.02,65.316,25.428
291.4,62.426,25.359
291.78,65.884,28.956
292.16,63.704,30.117
292.53,59.259,28.522
292.91,60.749,25.51
293.29,57.945,22.696
293.66,56.038,14.539
294.04,59.445,15.257
294.42,60.801,18.216
294.8,58.993,23.754
295.17,57.059,26.534
295.55,55.214,29.279
295.93,54.67,30.044
296.3,49.003,24.656
296.68,46.641,17.538
297.06,54.842,16.485
297.43,57.906,18.606
297.81,56.989,13.378
298.19,60.207,14.401
298.56,57.066,13.313
298.94,56.703,13.36
299.32,50.799,12.479
299.69,52.146,13.636
300.07,47.167,10.939
300.45,46.055,14.218
300.82,41.522,15.275
301.2,39.134,6.986
301.57,38.646,7.175
301.95,41.556,14.336
302.33,42.884,11.547
302.7,39.916,4.187
303.08,38.064,2.994
303.45,28.992,4.085
303.83,32.748,0.853
304.21,21.158,2.419
304.58,24.214,3.092
304.96,28.861,1.346
305.33,20.976,4.816
305.71,14.838,10.624
306.09,19.476,15.489
306.46,18.49,16.696
306.84,20.687,10.685
307.21,23.272,9.763
307.59,23.51,10.917
307.96,24.905,24.435
308.34,18.929,21.968
308.72,12.387,18.404
309.09,19.265,21.32
309.47,9.94,17.785
309.84,16.452,22.452
310.22,21.711,25.569
310.59,18.666,24.293
310.97,18.102,24.604
311.34,21.608,22.658
311.72,22.56,22.538
312.09,19.265,23.394
312.47,16.588,21.611
312.84,17.504,22.749
313.22,20.758,19.531
313.59,12.288,11.323
313.97,10.774,13.914
314.34,15.762,14.032
