wl,white_fabric
178.95,0
179.33,384.615
179.71,550
180.09,646.667
180.46,236.111
180.84,234.483
181.22,282.609
181.6,93.333
181.97,206.544
182.35,206.918
182.73,197.452
183.1,189.06
183.48,182.459
183.86,187.961
184.24,181.102
184.61,174.926
184.99,193.645
185.37,256.563
185.74,409.388
186.12,1416.418
186.5,-544.828
186.88,-216.054
187.25,-112.058
187.63,-61.818
188.01,-48.219
188.38,-22.126
188.76,-7.779
189.14,-1.91
189.51,6.405
189.89,12.807
190.27,17.029
190.64,21.804
191.02,26.273
191.4,30.251
191.77,30.532
192.15,32.305
192.53,33.883
192.9,33.17
193.28,31.444
193.66,33.53
194.03,33.185
194.41,32.274
194.79,32.871
195.16,33.022
195.54,33.48
195.91,32.883
196.29,34.476
196.67,35.126
197.04,35.854
197.42,36.094
197.8,36.453
198.17,38.147
198.55,37.039
198.92,35.34
199.3,36.334
199.68,37.374
200.05,34.932
200.43,37.216
200.8,38.014
201.18,37.07
201.56,37.634
201.93,39.123
202.31,41.437
202.68,40.5
203.06,40.446
203.44,38.491
203.81,38.563
204.19,36.858
204.56,36.745
204.94,39.505
205.31,40.625
205.69,40.113
206.06,39.861
206.44,40.988
206.82,37.962
207.19,38.449
207.57,41.162
207.94,41.352
208.32,39.354
208.69,40.67
209.07,41.208
209.44,41.275
209.82,42.053
210.19,41.867
210.57,43.175
210.95,42.493
211.32,40.853
211.7,40.357
212.07,39.951
212.45,40.645
212.82,38.982
213.2,39.879
213.57,40.04
213.95,37.247
214.32,36.306
214.7,36.512
215.07,35.815
215.45,36.848
215.82,37.541
216.2,36.282
216.57,36.585
216.95,37.453
217.32,40.222
217.69,39.616
218.07,40.939
218.44,43.305
218.82,43.803
219.19,45.761
219.57,46.689
219.94,47.302
220.32,47.782
220.69,45.776
221.07,46.725
221.44,44.757
221.82,44.509
222.19,43.036
222.56,45.096
222.94,47.059
223.31,45.817
223.69,43.703
224.06,44.27
224.44,42.656
224.81,40.641
225.18,39.5
225.56,39.826
225.93,41.692
226.31,43.809
226.68,44.764
227.05,48.79
227.43,48.477
227.8,48.628
228.18,49.671
228.55,50.817
228.92,50.672
