wl,floor_5,floor_4,floor_3,floor_2,floor_1
176.12,-45.833,0,70.833,45.833,100
176.5,-45.833,0,70.833,45.833,100
176.89,-45.833,0,70.833,45.833,100
177.28,132.143,-53.571,57.143,-50,-35.714
177.67,-740,-580,-1060,-1020,-920
178.06,188.889,-5.556,183.333,44.444,-100
178.45,76.471,76.471,83.824,30.882,113.235
178.84,100,600,1500,1850,900
179.22,49.231,-15.385,3.077,75.385,46.154
179.61,-40,120,166.667,46.667,100
180,28.571,108.571,182.857,8.571,-25.714
180.39,52.5,60,40,90,80
180.78,-475,-225,-200,200,-1150
181.16,95.238,-59.524,16.667,-26.19,2.381
181.55,256.757,148.649,102.703,172.973,129.73
181.94,233.333,22.222,166.667,377.778,411.111
182.33,159.375,268.75,100,25,131.25
182.72,25,87.5,-31.25,281.25,343.75
183.1,84.375,-50,46.875,-68.75,178.125
183.49,150,-440,-130,-50,10
183.88,51.923,63.462,53.846,61.538,28.846
184.27,-842.857,-600,-457.143,-114.286,100
184.66,-188.889,-159.259,-37.037,-51.852,-25.926
185.04,-7.5,172.5,100,35,2.5
185.43,0,0,0,0,0
185.82,156.41,2.564,110.256,28.205,76.923
186.21,342.857,842.857,-514.286,0,57.143
186.59,-400,-700,-1150,250,-200
186.98,320,370,0,610,0
187.37,4200,3400,1600,3600,6200
187.76,86.957,39.13,78.261,86.957,52.174
188.15,160.526,123.684,42.105,-34.211,115.789
188.53,35.714,39.286,32.143,128.571,-100
188.92,6.329,60.759,17.722,60.759,-15.19
189.31,5200,2100,6100,-300,2600
189.69,68.519,72.222,100,87.037,-20.37
190.08,-114.286,100,-150,-142.857,78.571
190.47,88.235,-105.882,41.176,-41.176,-111.765
190.86,328.571,538.095,461.905,176.19,323.81
191.24,163.889,-55.556,30.556,-61.111,63.889
191.63,-19.231,234.615,119.231,65.385,146.154
192.02,18.605,113.953,-4.651,2.326,74.419
192.41,41.667,641.667,183.333,191.667,366.667
192.79,146.667,-60,6.667,-93.333,-133.333
193.18,145.714,54.286,165.714,31.429,80
193.57,107.143,60.714,100,167.857,64.286
193.95,226.316,42.105,-100,-10.526,157.895
194.34,17.647,111.765,-44.118,-20.588,32.353
194.73,560,-180,180,-80,-200
195.11,-209.091,227.273,254.545,245.455,-63.636
195.5,144.798,147.977,70.231,107.659,145.665
195.89,142.717,142.857,69.468,101.401,149.02
196.27,134.162,134.162,65.445,95.288,139.66
196.66,127.901,125.945,62.581,89.7,135.202
197.05,134.748,126.393,68.17,85.279,133.82
197.43,130.326,113.91,63.91,80.075,121.053
197.82,129.093,104.829,69.494,79.859,116.49
198.21,129.537,106.008,66.834,80.976,114.518
198.59,123.068,104.348,58.575,75,111.353
198.98,123.982,101.87,59.186,78.878,109.131
199.37,121.235,96.1,57.746,77.79,107.367
199.75,123.593,97.835,54.329,79.329,112.554
200.14,128.039,95.181,53.669,73.384,109.529
200.53,132.369,92.605,53.055,71.49,111.04
200.91,129.582,102.144,59.7,76.42,115.97
201.3,121.114,103.132,60.093,71.114,116.821
201.68,120,103.195,56.095,63.669,111.834
202.07,126.092,98.127,55.431,64.17,117.353
202.46,132.026,99.346,54.902,57.778,108.758
202.84,131.918,105.534,57.4,68.082,97.169
203.23,122.656,108.854,54.297,62.37,94.661
203.61,121.508,105.562,55.995,61.805,91.224
204,117.34,102.613,60.689,64.964,95.249
204.39,126.443,107.506,63.395,68.822,94.688
204.77,123.82,108.09,70.787,66.517,89.213
205.16,118.519,100.98,73.42,61.765,83.987
205.54,116.405,108.685,73.583,62.726,83.836
205.93,111.39,100,78.474,63.667,82.232
206.32,109.732,102.908,82.215,63.311,80.537
206.7,107.533,95.306,80.895,58.079,77.948
207.09,112.632,99.368,84.632,62.316,86.842
207.47,118.654,107.792,87.367,67.296,95.159
207.86,125.895,113.499,92.7,69.972,94.904
208.24,126.337,119.204,92.318,69.41,100.96
208.63,141.294,132.666,100.308,70.878,119.723
209.02,143.982,135.958,105.201,65.973,122.288
209.4,139.164,129.257,95.82,62.848,131.579
209.79,137.895,124.361,88.571,54.286,130.526
210.17,141.061,129.091,89.394,56.818,129.242
210.56,142.24,120,80,57.12,130.4
210.94,142.433,108.16,75.074,47.478,130.712
211.33,147.881,100.785,71.9,52.276,132.653
211.71,150,95.349,61.296,47.841,134.385
212.1,141.353,78.346,57.744,40.451,122.556
212.48,144.708,95.419,64.929,45.498,128.752
212.87,153.846,104.651,55.814,42.218,138.462
213.25,148.983,103.559,63.051,47.966,134.746
213.64,147.664,95.639,56.698,47.819,126.947
214.02,157.938,93.126,60.556,47.627,135.843
214.41,158.403,105.324,60.067,52.08,140.765
214.79,155.416,104.082,66.248,58.085,137.363
215.18,151.047,96.135,66.667,59.42,143.8
215.56,155.929,103.205,73.237,68.429,154.808
215.95,161.706,108.027,87.96,64.548,172.074
216.33,164.235,113.523,88.612,60.676,185.231
216.72,181.053,130.947,91.368,60.842,193.263
217.1,194.545,138.864,90.682,55.682,210.227
217.49,200.216,134.989,70.842,37.797,202.592
